"location","date","daily_average"
"Guatemala",2019-12-03,9.35209979833383e-05
"Guernsey",2019-12-03,0.00347551556368829
"Guinea",2019-12-03,3.79737035175447e-05
"Guinea-Bissau",2019-12-03,7.61931915238761e-06
"Guyana",2019-12-03,0.000157302072823486
"Haiti",2019-12-03,6.14461221966743e-07
"Honduras",2019-12-03,1.97856513473291e-05
"Hong Kong (SAR)",2019-12-03,0.00590239160596814
"Hungary",2019-12-03,0.0135670579965369
"Iceland",2019-12-03,0.00654339755272385
"India",2019-12-03,0.0171738224772373
"Indonesia",2019-12-03,0.00236518413559439
"Iran",2019-12-03,0.000540725875330734
"Iraq",2019-12-03,0.00118996560246079
"Ireland",2019-12-03,0.0559136362463301
"Isle of Man",2019-12-03,0.00380253182601899
"Israel",2019-12-03,0.00659636411005738
"Italy",2019-12-03,0.0612571139247973
"Jamaica",2019-12-03,0.00220923387745923
"Japan",2019-12-03,0.00417600135673038
"Jersey",2019-12-03,0.00631346616346389
"Jordan",2019-12-03,0.00072850522476377
"Kazakhstan",2019-12-03,0.000310548701581992
"Kenya",2019-12-03,0.00161283781541831
"Korea (South)",2019-12-03,0.00294806205075204
"Kuwait",2019-12-03,0.00321658160475151
"Kyrgyzstan",2019-12-03,4.37496390040321e-05
"Laos",2019-12-03,3.34266904749908e-05
"Latvia",2019-12-03,0.00444513537195181
"Lebanon",2019-12-03,0.000718796737456696
"Lesotho",2019-12-03,1.84338366590023e-06
"Liberia",2019-12-03,2.55615868338165e-05
"Lithuania",2019-12-03,0.00585225157025565
"Luxembourg",2019-12-03,0.0033275533014387
"Macao (SAR)",2019-12-03,5.28436650891399e-06
"Macedonia",2019-12-03,0.000482106274755106
"Madagascar",2019-12-03,3.50242896521043e-05
"Malawi",2019-12-03,0.000156933396090306
"Malaysia",2019-12-03,0.00382772473611963
"Maldives",2019-12-03,0.00145479838912846
"Mali",2019-12-03,3.99399794278383e-05
"Malta",2019-12-03,0.00612507235280889
"Martinique",2019-12-03,7.98799588556766e-06
"Mauritania",2019-12-03,3.95713026946582e-05
"Mauritius",2019-12-03,0.00198667602286287
"Mayotte",2019-12-03,1.10603019954014e-06
"Mexico",2019-12-03,0.00407719599223813
"Moldova",2019-12-03,0.00113871953654877
"Mongolia",2019-12-03,4.2643608804492e-05
"Montenegro",2019-12-03,0.000248856794896531
"Morocco",2019-12-03,0.00721832175893212
"Mozambique",2019-12-03,7.69305449902362e-05
"Myanmar",2019-12-03,0.000219239763997734
"Namibia",2019-12-03,0.000120803076238662
"Nepal",2019-12-03,0.00099124884327675
"Netherlands",2019-12-03,0.0428420797791872
"New Caledonia",2019-12-03,2.60531558113899e-05
"New Zealand",2019-12-03,0.00309614720524602
"Nicaragua",2019-12-03,2.59302635669966e-05
"Niger",2019-12-03,1.3395254638875e-05
"Nigeria",2019-12-03,0.00344356358014602
"North Mariana Isl",2019-12-03,2.45784488786697e-07
"Norway",2019-12-03,0.0140290099432115
"Oman",2019-12-03,0.000918988203573461
"Pakistan",2019-12-03,0.00664613546903668
"Palau",2019-12-03,2.45784488786697e-07
"Panama",2019-12-03,0.000123383813370922
"Papua New Guinea",2019-12-03,4.91568977573394e-06
"Paraguay",2019-12-03,3.36724749637775e-05
"Peru",2019-12-03,0.000318782481956346
"Philippines",2019-12-03,0.00213439250062368
"Poland",2019-12-03,0.0437244460939315
"Portugal",2019-12-03,0.0261426213653083
"Puerto Rico",2019-12-03,0.00021284936728928
"Qatar",2019-12-03,0.00391264327699543
"Reunion",2019-12-03,1.74506987038555e-05
"Romania",2019-12-03,0.0165385924659681
"Russia",2019-12-03,0.00402029688308401
"Rwanda",2019-12-03,0.00019011430207651
"Samoa",2019-12-03,9.83137955146789e-07
"Sao Tome-Principe",2019-12-03,4.91568977573394e-06
"Saudi Arabia",2019-12-03,0.00521444082185417
"Senegal",2019-12-03,0.000176350370704455
"Serbia",2019-12-03,0.00140195472403932
"Seychelles",2019-12-03,0.000236444678212803
"Sierra Leone",2019-12-03,0.00013690196025419
