"tmrca","model","id"
76,"simulation",2
73,"simulation",2
89,"simulation",2
92,"simulation",2
84,"simulation",2
111,"simulation",2
65,"simulation",2
80,"simulation",2
96,"simulation",2
95,"simulation",2
82,"simulation",2
72,"simulation",2
88,"simulation",2
102,"simulation",2
76,"simulation",2
62,"simulation",2
110,"simulation",2
79,"simulation",2
83,"simulation",2
125,"simulation",2
106,"simulation",2
73,"simulation",2
63,"simulation",2
96,"simulation",2
81,"simulation",2
104,"simulation",2
62,"simulation",2
73,"simulation",2
74,"simulation",2
84,"simulation",2
84,"simulation",2
59,"simulation",2
55,"simulation",2
80,"simulation",2
73,"simulation",2
69,"simulation",2
87,"simulation",2
85,"simulation",2
79,"simulation",2
104,"simulation",2
114,"simulation",2
68,"simulation",2
65,"simulation",2
90,"simulation",2
82,"simulation",2
54,"simulation",2
65,"simulation",2
96,"simulation",2
74,"simulation",2
102,"simulation",2
77,"simulation",2
62,"simulation",2
84,"simulation",2
82,"simulation",2
106,"simulation",2
58,"simulation",2
87,"simulation",2
72,"simulation",2
75,"simulation",2
74,"simulation",2
90,"simulation",2
83,"simulation",2
106,"simulation",2
72,"simulation",2
83,"simulation",2
79,"simulation",2
77,"simulation",2
94,"simulation",2
78,"simulation",2
128,"simulation",2
81,"simulation",2
76,"simulation",2
64,"simulation",2
77,"simulation",2
84,"simulation",2
73,"simulation",2
96,"simulation",2
92,"simulation",2
66,"simulation",2
69,"simulation",2
127,"simulation",2
45,"simulation",2
76,"simulation",2
82,"simulation",2
81,"simulation",2
76,"simulation",2
79,"simulation",2
111,"simulation",2
81,"simulation",2
64,"simulation",2
70,"simulation",2
81,"simulation",2
71,"simulation",2
66,"simulation",2
69,"simulation",2
104,"simulation",2
79,"simulation",2
85,"simulation",2
114,"simulation",2
66,"simulation",2
75,"simulation",2
65,"simulation",2
66,"simulation",2
64,"simulation",2
82,"simulation",2
75,"simulation",2
69,"simulation",2
72,"simulation",2
89,"simulation",2
105,"simulation",2
104,"simulation",2
93,"simulation",2
55,"simulation",2
67,"simulation",2
69,"simulation",2
74,"simulation",2
78,"simulation",2
76,"simulation",2
104,"simulation",2
77,"simulation",2
83,"simulation",2
81,"simulation",2
86,"simulation",2
59,"simulation",2
58,"simulation",2
85,"simulation",2
100,"simulation",2
58,"simulation",2
69,"simulation",2
83,"simulation",2
80,"simulation",2
96,"simulation",2
74,"simulation",2
81,"simulation",2
84,"simulation",2
85,"simulation",2
124,"simulation",2
94,"simulation",2
82,"simulation",2
82,"simulation",2
88,"simulation",2
102,"simulation",2
83,"simulation",2
67,"simulation",2
82,"simulation",2
71,"simulation",2
130,"simulation",2
77,"simulation",2
71,"simulation",2
104,"simulation",2
91,"simulation",2
77,"simulation",2
61,"simulation",2
78,"simulation",2
73,"simulation",2
75,"simulation",2
84,"simulation",2
79,"simulation",2
80,"simulation",2
77,"simulation",2
90,"simulation",2
78,"simulation",2
63,"simulation",2
67,"simulation",2
99,"simulation",2
79,"simulation",2
66,"simulation",2
94,"simulation",2
74,"simulation",2
96,"simulation",2
57,"simulation",2
77,"simulation",2
78,"simulation",2
72,"simulation",2
70,"simulation",2
82,"simulation",2
84,"simulation",2
108,"simulation",2
96,"simulation",2
74,"simulation",2
97,"simulation",2
78,"simulation",2
80,"simulation",2
88,"simulation",2
62,"simulation",2
72,"simulation",2
87,"simulation",2
80,"simulation",2
66,"simulation",2
114,"simulation",2
86,"simulation",2
79,"simulation",2
78,"simulation",2
67,"simulation",2
90,"simulation",2
137,"simulation",2
77,"simulation",2
74,"simulation",2
137,"simulation",2
83,"simulation",2
106,"simulation",2
84,"simulation",2
89,"simulation",2
62,"simulation",2
70,"simulation",2
71,"simulation",2
72,"simulation",2
92,"simulation",2
82,"simulation",2
85,"simulation",2
103,"simulation",2
68,"simulation",2
107,"simulation",2
93,"simulation",2
72,"simulation",2
70,"simulation",2
70,"simulation",2
91,"simulation",2
106,"simulation",2
78,"simulation",2
74,"simulation",2
80,"simulation",2
87,"simulation",2
77,"simulation",2
64,"simulation",2
62,"simulation",2
93,"simulation",2
76,"simulation",2
75,"simulation",2
81,"simulation",2
86,"simulation",2
82,"simulation",2
86,"simulation",2
83,"simulation",2
77,"simulation",2
83,"simulation",2
84,"simulation",2
81,"simulation",2
89,"simulation",2
80,"simulation",2
79,"simulation",2
122,"simulation",2
70,"simulation",2
86,"simulation",2
73,"simulation",2
71,"simulation",2
83,"simulation",2
79,"simulation",2
80,"simulation",2
92,"simulation",2
79,"simulation",2
67,"simulation",2
66,"simulation",2
62,"simulation",2
55,"simulation",2
87,"simulation",2
96,"simulation",2
143,"simulation",2
77,"simulation",2
65,"simulation",2
80,"simulation",2
96,"simulation",2
81,"simulation",2
60,"simulation",2
59,"simulation",2
60,"simulation",2
68,"simulation",2
73,"simulation",2
73,"simulation",2
93,"simulation",2
66,"simulation",2
100,"simulation",2
69,"simulation",2
92,"simulation",2
83,"simulation",2
95,"simulation",2
79,"simulation",2
68,"simulation",2
99,"simulation",2
81,"simulation",2
80,"simulation",2
75,"simulation",2
92,"simulation",2
68,"simulation",2
120,"simulation",2
81,"simulation",2
98,"simulation",2
66,"simulation",2
77,"simulation",2
84,"simulation",2
