"location","date","daily_average"
"Belgium",2020-03-22,2775.1122580645
"France",2020-03-23,16631.7225806452
"Ireland",2020-03-23,1387.0967741936
"Netherlands",2020-03-23,967.7419354839
"Belgium",2020-03-23,2775.1122580645
"France",2020-03-24,16631.7225806452
"Ireland",2020-03-24,1387.0967741936
"Netherlands",2020-03-24,967.7419354839
"Belgium",2020-03-24,2775.1122580645
"France",2020-03-25,16631.7225806452
"Ireland",2020-03-25,1387.0967741936
"Netherlands",2020-03-25,967.7419354839
"Belgium",2020-03-25,2775.1122580645
"France",2020-03-26,16631.7225806452
"Ireland",2020-03-26,1387.0967741936
"Netherlands",2020-03-26,967.7419354839
"Belgium",2020-03-26,2775.1122580645
"France",2020-03-27,16631.7225806452
"Ireland",2020-03-27,1387.0967741936
"Netherlands",2020-03-27,967.7419354839
"Belgium",2020-03-27,2775.1122580645
"France",2020-03-28,16631.7225806452
"Ireland",2020-03-28,1387.0967741936
"Netherlands",2020-03-28,967.7419354839
"Belgium",2020-03-28,2775.1122580645
"France",2020-03-29,16631.7225806452
"Ireland",2020-03-29,1387.0967741936
"Netherlands",2020-03-29,967.7419354839
"Belgium",2020-03-29,2775.1122580645
"France",2020-03-30,16631.7225806452
"Ireland",2020-03-30,1387.0967741936
"Netherlands",2020-03-30,967.7419354839
"Belgium",2020-03-30,2775.1122580645
"France",2020-03-31,16631.7225806452
"Ireland",2020-03-31,1387.0967741936
"Netherlands",2020-03-31,967.7419354839
"Belgium",2020-03-31,2775.1122580645
"France",2020-04-01,6425.74
"Ireland",2020-04-01,500
"Netherlands",2020-04-01,384
"Belgium",2020-04-01,1035.528
"France",2020-04-02,6425.74
"Ireland",2020-04-02,500
"Netherlands",2020-04-02,384
"Belgium",2020-04-02,1035.528
"France",2020-04-03,6425.74
"Ireland",2020-04-03,500
"Netherlands",2020-04-03,384
"Belgium",2020-04-03,1035.528
"France",2020-04-04,6425.74
"Ireland",2020-04-04,500
"Netherlands",2020-04-04,384
"Belgium",2020-04-04,1035.528
"France",2020-04-05,6425.74
"Ireland",2020-04-05,500
"Netherlands",2020-04-05,384
"Belgium",2020-04-05,1035.528
"France",2020-04-06,6425.74
"Ireland",2020-04-06,500
"Netherlands",2020-04-06,384
"Belgium",2020-04-06,1035.528
"France",2020-04-07,6425.74
"Ireland",2020-04-07,500
"Netherlands",2020-04-07,384
"Belgium",2020-04-07,1035.528
"France",2020-04-08,6425.74
"Ireland",2020-04-08,500
"Netherlands",2020-04-08,384
"Belgium",2020-04-08,1035.528
"France",2020-04-09,6425.74
"Ireland",2020-04-09,500
"Netherlands",2020-04-09,384
"Belgium",2020-04-09,1035.528
"France",2020-04-10,6425.74
"Ireland",2020-04-10,500
"Netherlands",2020-04-10,384
"Belgium",2020-04-10,1035.528
"France",2020-04-11,6425.74
"Ireland",2020-04-11,500
"Netherlands",2020-04-11,384
"Belgium",2020-04-11,1035.528
"France",2020-04-12,6425.74
"Ireland",2020-04-12,500
"Netherlands",2020-04-12,384
"Belgium",2020-04-12,1035.528
"France",2020-04-13,6425.74
"Ireland",2020-04-13,500
"Netherlands",2020-04-13,384
