"cluster_size","tmrca_date","mean_lag_estimate","ix","lag_lower_bound","lag_upper_bound"
3,77,10.3568874472331,409,0,40
3,77,10.3568874472331,410,0,40
3,77,10.3568874472331,411,0,40
3,77,10.3568874472331,412,0,40
4,77,7.94742651399983,413,0,31
4,77,7.94742651399983,414,0,31
4,77,7.94742651399983,415,0,31
4,77,7.94742651399983,416,0,31
4,77,7.94742651399983,417,0,31
4,77,7.94742651399983,418,0,31
5,77,6.50174995405987,419,0,25
6,77,5.53796558076657,420,0,22
6,77,5.53796558076657,421,0,22
6,77,5.53796558076657,422,0,22
7,77,4.84954817127135,423,0,19
7,77,4.84954817127135,424,0,19
7,77,4.84954817127135,425,0,19
7,77,4.84954817127135,426,0,19
8,77,4.33323511414993,427,0,17
8,77,4.33323511414993,428,0,17
9,77,3.93165829194439,429,0,16
9,77,3.93165829194439,430,0,16
9,77,3.93165829194439,431,0,16
9,77,3.93165829194439,432,0,16
10,77,3.61039683417995,433,0,15
10,77,3.61039683417995,434,0,15
11,77,3.34754655055451,435,0,14
12,77,3.1285046475333,436,0,13
14,77,2.78429594278569,437,0,12
15,77,2.64661246088665,438,0,11
16,77,2.52613941422498,439,0,11
18,77,2.32535100312221,440,0,10
19,77,2.24080851423683,441,0,9
22,77,2.03329513242727,442,0,9
23,77,1.97615376642174,443,0,9
25,77,1.875584962252,444,0,8
29,77,1.71606203150001,445,0,8
34,77,1.5694416907353,446,0,7
41,77,1.42425179231953,447,0,6
2,78,15.1758093136996,448,0,57
2,78,15.1758093136996,449,0,57
2,78,15.1758093136996,450,0,57
2,78,15.1758093136996,451,0,57
2,78,15.1758093136996,452,0,57
2,78,15.1758093136996,453,0,57
2,78,15.1758093136996,454,0,57
2,78,15.1758093136996,455,0,57
2,78,15.1758093136996,456,0,57
2,78,15.1758093136996,457,0,57
2,78,15.1758093136996,458,0,57
2,78,15.1758093136996,459,0,57
3,78,10.3568874472331,460,0,40
3,78,10.3568874472331,461,0,40
3,78,10.3568874472331,462,0,40
3,78,10.3568874472331,463,0,40
3,78,10.3568874472331,464,0,40
3,78,10.3568874472331,465,0,40
3,78,10.3568874472331,466,0,40
3,78,10.3568874472331,467,0,40
4,78,7.94742651399983,468,0,31
4,78,7.94742651399983,469,0,31
4,78,7.94742651399983,470,0,31
4,78,7.94742651399983,471,0,31
4,78,7.94742651399983,472,0,31
4,78,7.94742651399983,473,0,31
5,78,6.50174995405987,474,0,25
5,78,6.50174995405987,475,0,25
5,78,6.50174995405987,476,0,25
5,78,6.50174995405987,477,0,25
5,78,6.50174995405987,478,0,25
5,78,6.50174995405987,479,0,25
6,78,5.53796558076657,480,0,22
6,78,5.53796558076657,481,0,22
7,78,4.84954817127135,482,0,19
7,78,4.84954817127135,483,0,19
8,78,4.33323511414993,484,0,17
8,78,4.33323511414993,485,0,17
8,78,4.33323511414993,486,0,17
8,78,4.33323511414993,487,0,17
9,78,3.93165829194439,488,0,16
9,78,3.93165829194439,489,0,16
10,78,3.61039683417995,490,0,15
11,78,3.34754655055451,491,0,14
13,78,2.94316149882305,492,0,12
14,78,2.78429594278569,493,0,12
14,78,2.78429594278569,494,0,12
15,78,2.64661246088665,495,0,11
15,78,2.64661246088665,496,0,11
18,78,2.32535100312221,497,0,10
20,78,2.16472027423999,498,0,9
21,78,2.09587853329047,499,0,9
22,78,2.03329513242727,500,0,9
23,78,1.97615376642174,501,0,9
24,78,1.92377418091667,502,0,8
25,78,1.875584962252,503,0,8
30,78,1.68282808759334,504,0,7
31,78,1.65173826910001,505,0,7
35,78,1.5451446056943,506,0,7
47,78,1.3342252291681,507,0,6
2,79,15.1758093136996,508,0,57
2,79,15.1758093136996,509,0,57
