"location","date","daily_average","total_air_travels","non_air_num","estimate"
"Maldives",2020-02-25,0.00213464317795403,229300,0,489.473680704859
"Mali",2020-02-25,3.51688591475202e-05,229300,0,8.06421940252638
"Malta",2020-02-25,0.00629522578740611,229300,0,1443.49527305222
"Martinique",2020-02-25,6.52755340238064e-06,229300,0,1.49676799516588
"Mauritania",2020-02-25,4.80907505767227e-05,229300,0,11.0272091072425
"Mauritius",2020-02-25,0.00142433879547457,229300,0,326.600885802319
"Mayotte",2020-02-25,6.66076877793943e-07,229300,0,0.152731428078151
"Mexico",2020-02-25,0.00412328230429562,229300,0,945.468632374986
"Moldova",2020-02-25,0.00116883170515281,229300,0,268.013109991539
"Mongolia",2020-02-25,2.67762904873165e-05,229300,0,6.13980340874167
"Montenegro",2020-02-25,0.000226332923074382,229300,0,51.8981392609558
"Morocco",2020-02-25,0.00811334923303246,229300,0,1860.39097913434
"Mozambique",2020-02-25,7.6199194819627e-05,229300,0,17.4724753721405
"Myanmar",2020-02-25,0.000268029335624283,229300,0,61.4591266586481
"Namibia",2020-02-25,9.9511885542415e-05,229300,0,22.8180753548758
"Nepal",2020-02-25,0.00102362694579373,229300,0,234.717658670502
"Netherlands",2020-02-25,0.0429048092215946,229300,1620.6896551724,11458.762409684
"New Caledonia",2020-02-25,4.88900428300754e-05,229300,0,11.2104868209363
"New Zealand",2020-02-25,0.00295924635266293,229300,0,678.55518866561
"Nicaragua",2020-02-25,1.74512141982013e-05,229300,0,4.00156341564756
"Niger",2020-02-25,2.55773521072874e-05,229300,0,5.864886838201
"Nigeria",2020-02-25,0.00322660961140942,229300,0,739.86158389618
"North Mariana Isl",2020-02-25,7.99292253352731e-07,229300,0,0.183277713693781
"Norway",2020-02-25,0.0142421890163656,229300,0,3265.73394145263
"Oman",2020-02-25,0.0008730935714123,229300,0,200.20035592484
"Pakistan",2020-02-25,0.00696037015757114,229300,0,1596.01287713106
"Palau",2020-02-25,6.66076877793943e-07,229300,0,0.152731428078151
"Panama",2020-02-25,0.00021887286204309,229300,0,50.1875472664805
"Papua New Guinea",2020-02-25,6.26112265126306e-06,229300,0,1.43567542393462
"Paraguay",2020-02-25,2.66430751117577e-05,229300,0,6.10925712312604
"Peru",2020-02-25,0.000365409775157757,229300,0,83.7884614436737
"Philippines",2020-02-25,0.00212678347079606,229300,0,487.671449853537
"Poland",2020-02-25,0.0433466846223231,229300,0,9939.39478389869
"Portugal",2020-02-25,0.027694011209541,229300,0,6350.23677034775
"Puerto Rico",2020-02-25,0.000263100366728607,229300,0,60.3289140908696
"Qatar",2020-02-25,0.0022304250329808,229300,0,511.436460062497
"Reunion",2020-02-25,1.73179988226425e-06,229300,0,0.397101713003193
"Romania",2020-02-25,0.0166339378691481,229300,0,3814.16195339566
"Russia",2020-02-25,0.00450281290926261,229300,0,1032.49500009392
"Rwanda",2020-02-25,0.000124822806898585,229300,0,28.6218696218455
"Samoa",2020-02-25,1.33215375558789e-07,229300,0,0.0305462856156303
"Sao Tome-Principe",2020-02-25,7.46006103129216e-06,229300,0,1.71059199447529
"Saudi Arabia",2020-02-25,0.00444539708239677,229300,0,1019.32955099358
"Senegal",2020-02-25,0.000178508603248777,229300,0,40.9320227249446
"Serbia",2020-02-25,0.00115031476795014,229300,0,263.767176290967
"Seychelles",2020-02-25,0.000295604918364952,229300,0,67.7822077810835
"Sierra Leone",2020-02-25,0.000174112495855337,229300,0,39.9239952996288
"Singapore",2020-02-25,0.003685669795585,229300,0,845.124084127641
"Slovakia",2020-02-25,0.00327749788487287,229300,0,751.530265001349
"Slovenia",2020-02-25,0.000869629971647772,229300,0,199.406152498834
"Solomon Islands",2020-02-25,0,229300,0,0
"Somalia",2020-02-25,0.00022540041544547,229300,0,51.6843152616463
"South Africa",2020-02-25,0.00782613688332771,229300,0,1794.53318734704
"South Sudan",2020-02-25,2.97070287496098e-05,229300,0,6.81182169228553
"Spain",2020-02-25,0.144927804593293,229300,0,33231.9455932421
"Sri Lanka",2020-02-25,0.00254361438091951,229300,0,583.250777544844
"St Barthelemy",2020-02-25,1.09236607958207e-05,229300,0,2.50479542048169
"St Helena",2020-02-25,0,229300,0,0
"St Kitts-Nevis",2020-02-25,9.33839782667108e-05,229300,0,21.4129462165568
"St Lucia",2020-02-25,0.00107837846514839,229300,0,247.272182058526
"St Maarten (Dutch Part)",2020-02-25,9.12525322577702e-05,229300,0,20.9242056467067
"St Vincent-Grenad",2020-02-25,9.36504090178283e-05,229300,0,21.474038787788
"Sudan",2020-02-25,0.00019462766369139,229300,0,44.6281232844357
"Suriname",2020-02-25,7.59327640685095e-06,229300,0,1.74113828009092
"Svalbard",2020-02-25,1.41208298092316e-05,229300,0,3.23790627525681
"Swaziland",2020-02-25,3.33038438896971e-06,229300,0,0.763657140390754
"Sweden",2020-02-25,0.0113995061173167,229300,0,2613.90675270072
"Switzerland",2020-02-25,0.0457632115349595,229300,0,10493.5044049662
"Taiwan",2020-02-25,0.000623314742239572,229300,0,142.926070395534
"Tajikistan",2020-02-25,2.17141062160825e-05,229300,0,4.97904455534772
"Tanzania",2020-02-25,0.000616387542710515,229300,0,141.337663543521
"Thailand",2020-02-25,0.00947361143286325,229300,0,2172.29910155554
"Togo",2020-02-25,2.85080903695807e-05,229300,0,6.53690512174485
"Tonga",2020-02-25,1.33215375558789e-06,229300,0,0.305462856156303
"Trinidad-Tobago",2020-02-25,0.000699647152434757,229300,0,160.42909205329
"Tunisia",2020-02-25,0.000695917121919111,229300,0,159.573796056052
"Turkey",2020-02-25,0.00959403813236839,229300,0,2199.91294375207
"Turkmenistan",2020-02-25,0.000115364515233911,229300,0,26.4530833431358
"Turks-Caicos",2020-02-25,6.03465651281312e-05,229300,0,13.8374673838805
"Uganda",2020-02-25,0.000457728030419997,229300,0,104.957037375305
"Ukraine",2020-02-25,0.00227092250715067,229300,0,520.722530889649
"United Arab Emirates",2020-02-25,0.0158206580013617,229300,0,3627.67687971224
"United States",2020-02-25,0.0655951177097719,229300,0,15040.9604908507
"Uruguay",2020-02-25,0.000107238377324825,229300,0,24.5897599205824
"Uzbekistan",2020-02-25,8.87214401221532e-05,229300,0,20.3438262200097
"Vanuatu",2020-02-25,0,229300,0,0
"Venezuela",2020-02-25,2.73091519895517e-05,229300,0,6.2619885512042
"Viet Nam",2020-02-25,0.00189685373258159,229300,0,434.948560880959
"Virgin Islands (GB)",2020-02-25,4.42275046855178e-05,229300,0,10.1413668243892
"Virgin Islands (US)",2020-02-25,1.03907992935855e-05,229300,0,2.38261027801916
"Zambia",2020-02-25,0.000142407236472345,229300,0,32.6539793231087
"Zimbabwe",2020-02-25,0.000508616303883455,229300,0,116.625718480476
"French Guiana",2020-02-25,1.59858450670546e-06,229300,0,0.366555427387562
"Syria",2020-02-25,0,229300,0,0
"Timor-leste",2020-02-25,0,229300,0,0
"Afghanistan",2020-02-26,0.000265498243488666,208000,0,55.2236346456425
"Albania",2020-02-26,0.0014164790883166,208000,0,294.627650369853
"Algeria",2020-02-26,0.000850180526816189,208000,0,176.837549577767
"Angola",2020-02-26,0.000185036156651157,208000,0,38.4875205834407
"Antigua-Barbuda",2020-02-26,0.00107198412712157,208000,0,222.972698441287
"Argentina",2020-02-26,0.00145311331659527,208000,0,302.247569851816
"Armenia",2020-02-26,5.26200733457215e-05,208000,0,10.9449752559101
"Aruba",2020-02-26,3.9698181916519e-05,208000,0,8.25722183863595
"Australia",2020-02-26,0.0101090487742787,208000,0,2102.68214504997
"Austria",2020-02-26,0.0173995266324845,208000,0,3619.10153955678
"Azerbaijan",2020-02-26,0.000341564222932734,208000,0,71.0453583700087
"Bahamas",2020-02-26,0.000256972459452903,208000,0,53.4502715662038
"Bahrain",2020-02-26,0.000436413570330591,208000,0,90.7740226287629
"Bangladesh",2020-02-26,0.0020228754778602,208000,0,420.758099394922
"Barbados",2020-02-26,0.00567177782979098,208000,0,1179.72978859652
"Belarus",2020-02-26,0.000220071800423119,208000,0,45.7749344880088
"Belgium",2020-02-26,0.00518380990911914,208000,4120.1379310345,5198.37039213128
"Belize",2020-02-26,5.22204272190451e-05,208000,0,10.8618488615614
"Benin",2020-02-26,1.65187065692898e-05,208000,0,3.43589096641228
"Bermuda",2020-02-26,0.000313722209440947,208000,0,65.254219563717
"Bolivia",2020-02-26,2.50444906050522e-05,208000,0,5.20925404585086
"Bonaire, Saint Eustatius and Saba",2020-02-26,1.03907992935855e-05,208000,0,2.16128625306578
"Bosnia-Herzegovina",2020-02-26,7.89967177063616e-05,208000,0,16.4313172829232
"Botswana",2020-02-26,7.6199194819627e-05,208000,0,15.8494325224824
"Brazil",2020-02-26,0.00296297638317857,208000,0,616.299087701143
"Brunei Darussalam",2020-02-26,5.44850886035445e-05,208000,0,11.3328984295373
