state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
7695000	-3629.9268034238694	-423.4688066481703	-3206.457996775699	341.0	1.2782549035376765	1.2782549035376787	1.049198449399515	1.1297439494121393	0.0	837.0	418.0	416.0	829.0
7699500	-3659.9022125847123	-389.4369508322718	-3270.4652617524403	89.0	1.1899878251461504	1.1899878251461466	1.4045466075958435	1.5502438479331826	0.0	808.0	380.0	440.0	812.0
7704000	-3640.44761477844	-417.69800837360316	-3222.749606404837	496.0	1.2561076008818555	1.2561076008818617	2.8698074716954056	2.799089431007816	0.0	796.0	373.0	443.0	804.0
7708500	-3596.776889522982	-412.7806500133144	-3183.9962395096677	139.0	1.2195646075892728	1.219564607589275	1.4640673785452256	1.4838069874446738	0.0	823.0	377.0	442.0	817.0
7713000	-3576.584291937856	-408.4646176041033	-3168.1196743337528	468.0	1.2156339067381916	1.2156339067381918	2.5268064564089716	2.001707055375163	0.0	787.0	354.0	451.0	785.0
7717500	-3626.384691887701	-388.33070051117835	-3238.053991376523	60.0	1.2012463676607477	1.2012463676607446	0.49297557491783456	0.424951996358261	0.0	805.0	346.0	467.0	809.0
7722000	-3574.615188491227	-413.4279310664679	-3161.187257424759	41.0	1.242347240082285	1.2423472400822746	1.2829824067634266	1.1333365108228814	0.0	807.0	375.0	450.0	809.0
7726500	-3657.694619277689	-407.1315232401348	-3250.5630960375543	89.0	1.2435050323087637	1.2435050323087544	1.7083461069527939	1.4372767755797	0.0	820.0	353.0	459.0	812.0
7731000	-3654.221600775673	-415.42297300072465	-3238.7986277749483	250.0	1.258910936191811	1.2589109361918214	0.6991745053673034	0.6308356041803618	0.0	828.0	353.0	465.0	802.0
7735500	-3596.84486640625	-379.9794557586242	-3216.8654106476256	387.0	1.154277277576312	1.1542772775763126	2.2759826557238605	2.091181329814164	0.0	794.0	344.0	441.0	800.0
7740000	-3605.515924047218	-389.57077111543157	-3215.9451529317867	113.0	1.1944105154804707	1.1944105154804765	1.1881214682998589	1.1160510747781702	0.0	814.0	357.0	455.0	810.0
7744500	-3647.8599316043687	-419.4492233420277	-3228.410708262341	300.0	1.269965181123735	1.2699651811237476	1.0564931405601201	1.2276820607743795	0.0	816.0	398.0	405.0	800.0
7749000	-3654.1862373710105	-422.2185540007514	-3231.9676833702592	120.0	1.2732670487275048	1.273267048727509	2.5878058156985086	2.556063983771909	0.0	809.0	384.0	435.0	813.0
7753500	-3681.760564080677	-411.37491715933817	-3270.385646921339	287.0	1.2362311391703895	1.236231139170399	2.029735190579067	1.6978974345603337	0.0	843.0	360.0	484.0	841.0
7758000	-3623.540693696248	-433.396194769245	-3190.144498927003	183.0	1.3036961803271643	1.303696180327167	1.8750331320613114	1.7231237475802013	0.0	819.0	342.0	475.0	823.0
7762500	-3576.162016838487	-411.26661534539073	-3164.8954014930964	265.0	1.2239576683257043	1.2239576683257134	2.7362835990637637	3.171105573772578	0.0	809.0	373.0	426.0	797.0
7767000	-3675.8746834462377	-392.95521051803655	-3282.9194729282012	135.0	1.1697948877456499	1.1697948877456572	4.2654727585173395	4.4113075969761315	0.0	815.0	376.0	443.0	823.0
7771500	-3673.1048043049423	-416.33604605577915	-3256.768758249163	278.0	1.2476010967407756	1.2476010967407767	1.390645438348526	1.1313058642736866	0.0	830.0	357.0	480.0	830.0
7776000	-3676.2783723439056	-393.7122635589681	-3282.5661087849376	96.0	1.1827383646538425	1.1827383646538354	3.925379563085216	3.681925385442171	0.0	820.0	371.0	445.0	830.0
