state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
2709000	-2319.97092185783	-194.70283503499567	-2125.2680868228344	421.0	0.5602361172630577	0.5602361172630574	0.2224469764314437	0.5968486939407196	0.0	459.0	389.0	69.0	457.0
2713500	-2368.6736184162055	-191.37519001442965	-2177.2984284017757	7.0	0.546949798759955	0.5469497987599533	0.6753877052304412	1.8955318687531593	0.0	471.0	407.0	59.0	467.0
2718000	-2406.3618925977426	-209.57189329581007	-2196.7899993019323	128.0	0.5841061717045579	0.5841061717045566	1.6841538044228317	3.615580771028836	0.0	475.0	396.0	80.0	475.0
2722500	-2350.263130204654	-229.80768902969257	-2120.4554411749614	125.0	0.6562491209780146	0.6562491209780127	1.8007078222305666	3.5717541856032757	0.0	461.0	389.0	75.0	471.0
2727000	-2352.7910208236103	-201.4740426197043	-2151.316978203906	458.0	0.5771297274543963	0.577129727454388	0.4364027083922589	1.1757133508601858	0.0	466.0	385.0	76.0	464.0
2731500	-2393.020458346654	-193.89920717044924	-2199.1212511762046	235.0	0.5609318764209844	0.5609318764209844	0.519103819795316	1.0597798189414618	0.0	460.0	391.0	72.0	462.0
2736000	-2328.9179100918686	-182.57748361330155	-2146.340426478567	65.0	0.5253262194269739	0.5253262194269727	0.7731172850361152	2.0966178354653096	0.0	462.0	392.0	65.0	456.0
2740500	-2361.9309880573437	-182.1790255645106	-2179.751962492833	383.0	0.5254738167063646	0.5254738167063666	0.2975526205055473	1.3634224894507578	0.0	462.0	417.0	47.0	462.0
2745000	-2388.6387404404127	-206.96721573547313	-2181.6715247049397	171.0	0.5761827612249344	0.5761827612249304	0.795057170075598	3.20472079748732	0.0	471.0	427.0	46.0	473.0
2749500	-2429.478041191805	-189.67512162331897	-2239.8029195684862	196.0	0.5525055199057642	0.5525055199057657	0.42735241743747476	1.2363740083101018	0.0	482.0	412.0	70.0	480.0
2754000	-2369.8759562011965	-218.2872249962557	-2151.588731204941	241.0	0.623975962302477	0.623975962302479	0.5666411796414063	1.2177605201934105	0.0	463.0	385.0	77.0	473.0
2758500	-2364.462650891029	-202.46249405891567	-2162.0001568321136	207.0	0.5734610214140002	0.5734610214140053	1.205773443550281	3.5594846695666105	0.0	465.0	393.0	78.0	465.0
2763000	-2355.74455597415	-199.42092982830573	-2156.323626145844	162.0	0.5778946669323644	0.5778946669323647	0.41018689369011785	1.1122088216139079	0.0	458.0	396.0	65.0	458.0
2767500	-2390.621781624126	-216.93265725531813	-2173.689124368808	270.0	0.5953627584306647	0.5953627584306614	3.4088446253739164	6.969724824596334	0.0	465.0	384.0	78.0	465.0
2772000	-2408.4062572438943	-215.2756730488188	-2193.1305841950757	367.0	0.6224416912716177	0.6224416912716134	0.059752266482631926	0.12409026450315301	0.0	480.0	377.0	104.0	482.0
2776500	-2330.0144516503406	-188.78514457205276	-2141.229307078288	445.0	0.5343446923288192	0.5343446923288193	2.256754648426945	5.3344726527647	0.0	455.0	399.0	58.0	457.0
2781000	-2388.1953406255593	-221.05137103240068	-2167.1439695931585	346.0	0.6302306345494539	0.6302306345494623	1.470779709082114	3.44432505030446	0.0	475.0	406.0	70.0	479.0
2785500	-2364.5274942884225	-197.22701479950447	-2167.300479488918	8.0	0.5612945978330366	0.5612945978330356	1.094993364535659	1.945055728666884	0.0	471.0	391.0	81.0	469.0
2790000	-2390.8216870874185	-198.63062738185826	-2192.1910597055603	329.0	0.5639901352740109	0.5639901352740047	0.5131580854134883	1.8023922381746331	0.0	474.0	417.0	60.0	478.0
2794500	-2356.7974953146304	-194.90573340158193	-2161.8917619130484	440.0	0.5559160562540253	0.5559160562540159	0.880459653412433	2.5280985687301123	0.0	473.0	409.0	63.0	475.0
2799000	-2354.088809410587	-195.99888483197446	-2158.0899245786127	162.0	0.571188503059088	0.5711885030590901	0.11004838715853886	0.3231257552269009	0.0	463.0	396.0	72.0	465.0
2803500	-2393.7524136561915	-199.20557634204332	-2194.546837314148	235.0	0.5759152214190196	0.5759152214190196	0.5802910965469232	1.084035331649244	0.0	470.0	395.0	72.0	466.0
2808000	-2351.806896507617	-210.90843325545876	-2140.898463252158	98.0	0.6154088897977534	0.6154088897977532	0.8297735127049165	1.6685110618752808	0.0	470.0	416.0	59.0	470.0
2812500	-2418.3903277803956	-173.50846810588308	-2244.8818596745127	140.0	0.4987008861396873	0.4987008861396865	0.8477204995536057	2.317174156965886	0.0	464.0	385.0	79.0	466.0
2817000	-2368.0848989199653	-196.3824792919131	-2171.702419628052	226.0	0.5519987278510304	0.5519987278510318	0.9083372419912004	2.2997121042416286	0.0	467.0	390.0	78.0	469.0
2821500	-2387.532911857459	-210.5931104181791	-2176.93980143928	473.0	0.6080103816033783	0.6080103816033743	0.6948435678783664	1.592496776346297	0.0	467.0	385.0	77.0	463.0
2826000	-2377.7118374002553	-216.17205957647155	-2161.539777823784	469.0	0.6088761064533027	0.6088761064533079	1.7313993081719536	3.464206217354393	0.0	472.0	390.0	85.0	482.0
2830500	-2354.504153189392	-178.32006570604526	-2176.184087483347	275.0	0.5133110019789917	0.5133110019789954	0.303493786570262	0.8556119238031978	0.0	469.0	401.0	64.0	465.0
2835000	-2325.9580343102284	-208.00620302022145	-2117.951831290007	485.0	0.5913991853331981	0.5913991853331969	0.32649775159460925	0.7904712539433221	0.0	461.0	401.0	61.0	463.0
2839500	-2379.452803554161	-196.68282542724623	-2182.769978126915	175.0	0.5664665422095859	0.5664665422095844	0.3445367444898634	1.064078488877264	0.0	470.0	400.0	71.0	470.0
