state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
1552500	-447.759813612074	-31.53750709990968	-416.2223065121643	72.0	0.2676034763465021	0.26760347634650317	0.1178460032523499	1.6399670081529498	0.0	78.0	74.0	5.0	78.0
1557000	-432.5077052495755	-34.8846586904074	-397.62304655916813	225.0	0.2941755968794648	0.29417559687946626	0.40372973735422524	2.5142742521977817	0.0	77.0	77.0	0.0	77.0
1561500	-414.80594423385213	-26.34092671246217	-388.46501752138994	484.0	0.2194557251496791	0.21945572514967807	0.16878086010747492	2.880208445872153	0.0	71.0	70.0	1.0	71.0
1566000	-446.75749186040883	-32.0796924403438	-414.677799420065	415.0	0.2440082192476765	0.24400821924767718	0.6024001005670655	5.362804068155692	0.0	78.0	70.0	6.0	78.0
1570500	-432.20142569325645	-34.676032098947	-397.52539359430943	94.0	0.29453296197192214	0.2945329619719247	0.2773602589056102	1.114714245958648	0.0	77.0	74.0	3.0	77.0
1575000	-453.6020481365439	-34.27778126467839	-419.3242668718655	173.0	0.2890859288528398	0.2890859288528391	0.19013910897087236	2.846794520893063	0.0	78.0	77.0	1.0	78.0
1579500	-430.50260460613305	-32.02257430938739	-398.48003029674567	183.0	0.2689444242875313	0.2689444242875311	0.28234463970120044	2.670473340424319	0.0	74.0	68.0	6.0	74.0
1584000	-431.9191178876225	-30.2375352575301	-401.6815826300924	77.0	0.2531293375296516	0.25312933752965167	0.21143284863039694	2.762405075513539	0.0	76.0	71.0	5.0	76.0
1588500	-422.3842446222842	-36.42372300549459	-385.9605216167896	408.0	0.3116506226710675	0.3116506226710676	0.06004950235910066	1.3243258155857052	0.0	74.0	71.0	3.0	74.0
1593000	-423.71046259266484	-24.967177321103296	-398.74328527156155	375.0	0.2118668737430111	0.21186687374301028	0.28431536659564155	1.9129270613329017	0.0	73.0	68.0	5.0	73.0
1597500	-451.7188340597233	-26.861867156891268	-424.856966902832	43.0	0.23598774090949082	0.23598774090949165	0.16673280390136824	1.7623622892087212	0.0	79.0	77.0	2.0	79.0
1602000	-440.51231140642886	-26.279300370170343	-414.2330110362585	53.0	0.22485996690098495	0.22485996690098609	0.07722570839481989	2.269428287848994	0.0	77.0	77.0	0.0	77.0
1606500	-428.4544273880521	-29.90577222411109	-398.548655163941	81.0	0.25195019711561834	0.25195019711561906	0.08155588792279546	2.428970556734171	0.0	73.0	71.0	2.0	75.0
1611000	-433.34057037717656	-23.727847745380835	-409.61272263179575	485.0	0.22236726785558325	0.2223672678555834	0.05431761959033	0.4276516097700412	0.0	74.0	69.0	5.0	74.0
1615500	-465.83899715014167	-30.321928127009738	-435.5170690231319	76.0	0.25373244538104106	0.2537324453810424	0.1618842731189178	2.2112111014103566	0.0	82.0	75.0	5.0	82.0
1620000	-436.5505565778946	-28.033439209047476	-408.51711736884715	436.0	0.25603398122013193	0.2560339812201308	0.03316584920642715	0.18741918774391547	0.0	80.0	75.0	5.0	80.0
1624500	-436.10619866474195	-33.07462729023084	-403.0315713745111	243.0	0.2671465728787338	0.2671465728787345	0.011900052101194953	3.603142342268854	0.0	75.0	74.0	1.0	75.0
1629000	-436.8853825305442	-26.04981734675398	-410.8355651837902	493.0	0.24168263105274662	0.24168263105274684	0.0669120121007329	0.47724040444492705	0.0	74.0	70.0	4.0	74.0
1633500	-443.4511375954413	-35.200093507459734	-408.2510440879816	187.0	0.2721601487732805	0.27216014877327904	0.39859799204806245	5.323355431340833	0.0	78.0	75.0	4.0	78.0
1638000	-463.9152791855044	-41.061104277536074	-422.85417490796834	172.0	0.353631873850602	0.35363187385060174	0.45623543139559597	1.2089508084018383	0.0	79.0	73.0	6.0	79.0
1642500	-424.3166793730048	-24.995756209691372	-399.3209231633134	66.0	0.21194242677074698	0.21194242677074546	0.10949394188989839	1.5913282048340132	0.0	74.0	74.0	0.0	74.0
1647000	-439.8212157509976	-28.12255378320484	-411.69866196779276	221.0	0.24694303597032677	0.2469430359703265	0.25728884134271635	1.7285955255025498	0.0	78.0	72.0	6.0	78.0
1651500	-438.14885026595573	-35.170239296081405	-402.97861096987435	485.0	0.30196008925128287	0.30196008925128165	0.446408419001583	2.089495189751001	0.0	75.0	70.0	5.0	75.0
1656000	-425.5360417276312	-41.68585912375585	-383.85018260387534	469.0	0.330936728636243	0.33093672863624246	0.7948496778728926	4.521238393925439	0.0	72.0	71.0	1.0	72.0
