cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower
B_DTA_MCC_12,83,2020.07703525384,2020-01-29,2020.15027322404,2020.3825136612,B-DTA-20200818.combined.MCC.tree,0.5,2020.12019928784,2020.06498726377,2020.12019928784,2020.06498726377
B_DTA_MCC_120,2,2020.18622587661,2020-03-09,2020.21857923497,2020.22131147541,B-DTA-20200818.combined.MCC.tree,0.5,2020.19577108539,2020.18622587661,2020.19577108539,2020.18622587661
B_DTA_MCC_127,2,2020.21178080781,2020-03-19,2020.22677595628,2020.25136612022,B-DTA-20200818.combined.MCC.tree,0.5,2020.226442936,2020.18776142004,2020.22668004579,2020.16822216802
B_DTA_MCC_128,7,2020.16932786314,2020-03-03,2020.21857923497,2020.31967213115,B-DTA-20200818.combined.MCC.tree,0.5,2020.16932786314,2020.16932786314,2020.16932786314,2020.16932786314
B_DTA_MCC_129,6,2020.16890262214,2020-03-03,2020.18306010929,2020.25136612022,B-DTA-20200818.combined.MCC.tree,0.5,2020.17937453098,2020.15773680619,2020.18115583739,2020.136098429
B_DTA_MCC_13,871,2020.07655772428,2020-01-29,2020.15027322404,2020.40163934426,B-DTA-20200818.combined.MCC.tree,0.5,2020.10420934452,2020.0488715332,2020.11182678124,2020.02870201727
B_DTA_MCC_135,19,2020.16566100529,2020-03-02,2020.20218579235,2020.34153005464,B-DTA-20200818.combined.MCC.tree,0.5,2020.16566100529,2020.16566100529,2020.16566100529,2020.16566100529
B_DTA_MCC_136,2,2020.22667680704,2020-03-24,2020.23224043716,2020.25136612022,B-DTA-20200818.combined.MCC.tree,0.5,2020.23220655182,2020.20651784519,2020.23220655182,2020.17405956096
B_DTA_MCC_138,2,2020.22001341518,2020-03-22,2020.23224043716,2020.24316939891,B-DTA-20200818.combined.MCC.tree,0.5,2020.23208135904,2020.18433294914,2020.23208135904,2020.1580513448
B_DTA_MCC_139,8,2020.20695991142,2020-03-17,2020.22404371585,2020.30054644809,B-DTA-20200818.combined.MCC.tree,0.5,2020.20695991142,2020.20695991142,2020.20695991142,2020.20695991142
