sequence_name,country,adm1,lineage,sample_date,decimal_date,taxon_label,cluster
England/NORT-283CC3/2020,UK,UK-ENG,B.1.5,2020-04-03,2020.25409836066,England/NORT-283CC3/2020,B.1.pruned_DTA_MCC_533
England/NORT-283D57/2020,UK,UK-ENG,B.1.p11,2020-04-03,2020.25409836066,England/NORT-283D57/2020,B.1.pruned_DTA_MCC_17
England/NORT-283E27/2020,UK,UK-ENG,B.1,2020-04-04,2020.25683060109,England/NORT-283E27/2020,B.1.pruned_DTA_MCC_1
England/NORT-283E54/2020,UK,UK-ENG,B.1,2020-04-04,2020.25683060109,England/NORT-283E54/2020,B.1.pruned_DTA_MCC_372
England/NORT-283E63/2020,UK,UK-ENG,B.1.5,2020-04-05,2020.25956284153,England/NORT-283E63/2020,B.1.pruned_DTA_MCC_522
England/NORT-283E81/2020,UK,UK-ENG,B.1,2020-04-05,2020.25956284153,England/NORT-283E81/2020,B.1.pruned_DTA_MCC_520
England/NORT-283F42/2020,UK,UK-ENG,B.1,2020-04-05,2020.25956284153,England/NORT-283F42/2020,B.1.pruned_DTA_MCC_203
England/NORT-283F7F/2020,UK,UK-ENG,B.1.5,2020-04-05,2020.25956284153,England/NORT-283F7F/2020,B.1.pruned_DTA_MCC_526
England/NORT-2840E4/2020,UK,UK-ENG,B.1,2020-05-08,2020.34972677596,England/NORT-2840E4/2020,B.1.pruned_DTA_MCC_1
England/NORT-284169/2020,UK,UK-ENG,B.1,2020-03-12,2020.19398907104,England/NORT-284169/2020,B.1.pruned_DTA_MCC_243
England/NORT-284442/2020,UK,UK-ENG,B.1,2020-03-20,2020.21584699454,England/NORT-284442/2020,B.1.pruned_DTA_MCC_234
England/NORT-2844BB/2020,UK,UK-ENG,B.1,2020-03-21,2020.21857923497,England/NORT-2844BB/2020,B.1.pruned_DTA_MCC_200
England/NORT-284512/2020,UK,UK-ENG,B.1.5,2020-03-21,2020.21857923497,England/NORT-284512/2020,B.1.pruned_DTA_MCC_534
England/NORT-284521/2020,UK,UK-ENG,B.1.5,2020-03-21,2020.21857923497,England/NORT-284521/2020,B.1.pruned_DTA_MCC_535
England/NORT-28461F/2020,UK,UK-ENG,B.1.5,2020-03-21,2020.21857923497,England/NORT-28461F/2020,B.1.pruned_DTA_MCC_526
England/NORT-284697/2020,UK,UK-ENG,B.1.5,2020-03-22,2020.22131147541,England/NORT-284697/2020,B.1.pruned_DTA_MCC_536
