cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower,shift,tmrca_shifted,tmrca_shifted_calendar,detection_lag
B.1.pruned_DTA_MCC_416,2,2020.24218389594,2020-03-30,2020.24863387978,2020.26775956284,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.24856917376,2020.21412053146,2020.24856917376,2020.1916042463,15.1758315,2020.20071987545,2020-03-14,18
B.1.pruned_DTA_MCC_418,2,2020.25692428044,2020-04-04,2020.2650273224,2020.28142076503,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.25692428044,2020.25692428044,2020.25692428044,2020.25692428044,15.1758315,2020.21546025995,2020-03-20,18
B.1.pruned_DTA_MCC_419,3,2020.22853793529,2020-03-25,2020.26229508197,2020.27322404372,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22853793529,2020.22853793529,2020.22853793529,2020.22853793529,10.3568831666667,2020.2002404403,2020-03-14,23
B.1.pruned_DTA_MCC_42,137,2020.16580171533,2020-03-02,2020.17759562842,2020.36338797814,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.16580171533,2020.16580171533,2020.16580171533,2020.16580171533,0.930035332116788,2020.16326063519,2020-03-01,5
B.1.pruned_DTA_MCC_421,6,2020.21820674788,2020-03-21,2020.24316939891,2020.32513661202,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.21820674788,2020.21820674788,2020.21820674788,2020.21820674788,5.53793483333333,2020.20307577839,2020-03-15,15
B.1.pruned_DTA_MCC_430,2,2020.2741719133,2020-04-10,2020.28142076503,2020.2868852459,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.27918601231,2020.26957729394,2020.27918601231,2020.26957729394,15.1758315,2020.23270789281,2020-03-26,18
B.1.pruned_DTA_MCC_433,4,2020.2368637555,2020-03-28,2020.23770491803,2020.27868852459,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.2368637555,2020.2368637555,2020.2368637555,2020.2368637555,7.947409,2020.21514952326,2020-03-20,8
B.1.pruned_DTA_MCC_435,2,2020.28409884062,2020-04-14,2020.28415300546,2020.37704918033,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.28409884062,2020.28409884062,2020.28409884062,2020.28409884062,15.1758315,2020.24263482013,2020-03-30,15
B.1.pruned_DTA_MCC_437,2,2020.25370705713,2020-04-03,2020.25956284153,2020.2868852459,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.25955824081,2020.24234978478,2020.25955824081,2020.22868777269,15.1758315,2020.21224303664,2020-03-19,17
B.1.pruned_DTA_MCC_449,10,2020.25682639428,2020-04-04,2020.2650273224,2020.38524590164,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.25682639428,2020.25682639428,2020.25682639428,2020.25682639428,3.6103555,2020.24696203499,2020-03-31,7
