Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
A_DTA_MCC_44,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
A_DTA_MCC_45,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
A_DTA_MCC_46,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
A_DTA_MCC_49,1,0,0,16/03/2020,16/03/2020,0,NA,NA,NA
A_DTA_MCC_50,1,1,1,10/04/2020,10/04/2020,0,NA,NA,NA
A_DTA_MCC_56,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
A_DTA_MCC_59,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
A_DTA_MCC_60,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
A_DTA_MCC_62,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
A_DTA_MCC_63,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
A_DTA_MCC_64,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
A_DTA_MCC_65,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
A_DTA_MCC_66,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
A_DTA_MCC_67,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
A_DTA_MCC_68,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
A_DTA_MCC_69,1,0,0,14/03/2020,14/03/2020,0,NA,NA,NA
B_DTA_MCC_2,1,1,1,05/02/2020,05/02/2020,0,NA,NA,NA
B_DTA_MCC_3,1,1,1,08/02/2020,08/02/2020,0,NA,NA,NA
B_DTA_MCC_4,1,1,1,08/02/2020,08/02/2020,0,NA,NA,NA
B_DTA_MCC_5,1,1,1,24/02/2020,24/02/2020,0,NA,NA,NA
B_DTA_MCC_7,1,1,1,25/02/2020,25/02/2020,0,NA,NA,NA
B_DTA_MCC_8,1,1,1,25/02/2020,25/02/2020,0,NA,NA,NA
B_DTA_MCC_10,1,1,1,26/02/2020,26/02/2020,0,NA,NA,NA
B_DTA_MCC_11,1,1,1,26/02/2020,26/02/2020,0,NA,NA,NA
B_DTA_MCC_16,1,1,1,28/02/2020,28/02/2020,0,NA,NA,NA
B_DTA_MCC_18,1,1,1,29/02/2020,29/02/2020,0,NA,NA,NA
B_DTA_MCC_22,1,1,1,01/03/2020,01/03/2020,0,NA,NA,NA
B_DTA_MCC_23,1,1,1,02/03/2020,02/03/2020,0,NA,NA,NA
B_DTA_MCC_25,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B_DTA_MCC_31,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B_DTA_MCC_32,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B_DTA_MCC_33,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B_DTA_MCC_34,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B_DTA_MCC_35,1,0,0,27/02/2020,27/02/2020,0,NA,NA,NA
B_DTA_MCC_37,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B_DTA_MCC_38,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B_DTA_MCC_40,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B_DTA_MCC_44,1,1,1,07/03/2020,07/03/2020,0,NA,NA,NA
B_DTA_MCC_45,1,1,1,05/03/2020,05/03/2020,0,NA,NA,NA
B_DTA_MCC_47,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B_DTA_MCC_48,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B_DTA_MCC_49,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B_DTA_MCC_51,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B_DTA_MCC_52,1,0,0,05/03/2020,05/03/2020,0,NA,NA,NA
B_DTA_MCC_58,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B_DTA_MCC_59,1,1,1,07/03/2020,07/03/2020,0,NA,NA,NA
B_DTA_MCC_60,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B_DTA_MCC_64,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_65,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B_DTA_MCC_69,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_70,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_71,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_72,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_73,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_75,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B_DTA_MCC_78,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_79,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B_DTA_MCC_80,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
B_DTA_MCC_81,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
B_DTA_MCC_82,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_83,1,0,0,13/03/2020,13/03/2020,0,NA,NA,NA
B_DTA_MCC_84,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
B_DTA_MCC_85,1,1,1,15/03/2020,15/03/2020,0,NA,NA,NA
B_DTA_MCC_86,1,0,0,17/03/2020,17/03/2020,0,NA,NA,NA
B_DTA_MCC_87,1,0,0,16/03/2020,16/03/2020,0,NA,NA,NA
B_DTA_MCC_89,1,1,1,17/03/2020,17/03/2020,0,NA,NA,NA
B_DTA_MCC_90,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B_DTA_MCC_91,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B_DTA_MCC_96,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_98,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_99,1,0,0,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_102,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B_DTA_MCC_104,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_105,1,0,0,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_108,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_109,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B_DTA_MCC_110,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B_DTA_MCC_111,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_113,1,0,0,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_114,1,0,0,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_115,1,0,0,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_117,1,0,0,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_118,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_119,1,0,0,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_121,1,0,0,22/03/2020,22/03/2020,0,NA,NA,NA
B_DTA_MCC_122,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B_DTA_MCC_123,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B_DTA_MCC_124,1,0,0,24/03/2020,24/03/2020,0,NA,NA,NA
B_DTA_MCC_125,1,0,0,23/03/2020,23/03/2020,0,NA,NA,NA
B_DTA_MCC_126,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B_DTA_MCC_130,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_131,1,1,1,22/03/2020,22/03/2020,0,NA,NA,NA
B_DTA_MCC_132,1,0,0,24/03/2020,24/03/2020,0,NA,NA,NA
B_DTA_MCC_133,1,0,0,23/03/2020,23/03/2020,0,NA,NA,NA
B_DTA_MCC_134,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B_DTA_MCC_137,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B_DTA_MCC_141,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B_DTA_MCC_144,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B_DTA_MCC_146,1,0,0,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_147,1,0,0,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_148,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B_DTA_MCC_149,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_151,1,1,1,16/04/2020,16/04/2020,0,NA,NA,NA
B_DTA_MCC_158,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_159,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B_DTA_MCC_163,1,1,1,16/03/2020,16/03/2020,0,NA,NA,NA
B_DTA_MCC_164,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B_DTA_MCC_166,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_169,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_170,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B_DTA_MCC_173,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B_DTA_MCC_174,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B_DTA_MCC_175,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B_DTA_MCC_176,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_180,1,0,0,09/04/2020,09/04/2020,0,NA,NA,NA
B_DTA_MCC_181,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B_DTA_MCC_182,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B_DTA_MCC_183,1,1,1,18/04/2020,18/04/2020,0,NA,NA,NA
B_DTA_MCC_187,1,1,1,24/04/2020,24/04/2020,0,NA,NA,NA
B_DTA_MCC_188,1,1,1,26/04/2020,26/04/2020,0,NA,NA,NA
B_DTA_MCC_190,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_191,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B_DTA_MCC_193,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B_DTA_MCC_194,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B_DTA_MCC_195,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B_DTA_MCC_196,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_197,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B_DTA_MCC_198,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B_DTA_MCC_201,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B_DTA_MCC_203,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_205,1,1,1,17/03/2020,17/03/2020,0,NA,NA,NA
B_DTA_MCC_206,1,1,1,15/03/2020,15/03/2020,0,NA,NA,NA
B_DTA_MCC_207,1,0,0,19/03/2020,19/03/2020,0,NA,NA,NA
B_DTA_MCC_212,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_214,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_216,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_217,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_218,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B_DTA_MCC_219,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B_DTA_MCC_222,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B_DTA_MCC_223,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B_DTA_MCC_224,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B_DTA_MCC_227,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B_DTA_MCC_228,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B_DTA_MCC_229,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B_DTA_MCC_230,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B_DTA_MCC_231,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B_DTA_MCC_232,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B_DTA_MCC_233,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B_DTA_MCC_234,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B_DTA_MCC_235,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B_DTA_MCC_237,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B_DTA_MCC_239,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B_DTA_MCC_240,1,1,1,04/06/2020,04/06/2020,0,NA,NA,NA
B_DTA_MCC_246,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_249,1,0,0,03/04/2020,03/04/2020,0,NA,NA,NA
B_DTA_MCC_250,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B_DTA_MCC_251,1,0,0,04/04/2020,04/04/2020,0,NA,NA,NA
B_DTA_MCC_252,1,0,0,04/04/2020,04/04/2020,0,NA,NA,NA
B_DTA_MCC_254,1,0,0,16/04/2020,16/04/2020,0,NA,NA,NA
B_DTA_MCC_255,1,1,1,19/03/2020,19/03/2020,0,NA,NA,NA
B_DTA_MCC_256,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B_DTA_MCC_257,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B_DTA_MCC_258,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B_DTA_MCC_262,1,0,0,24/04/2020,24/04/2020,0,NA,NA,NA
B_DTA_MCC_263,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B_DTA_MCC_264,1,0,0,26/03/2020,26/03/2020,0,NA,NA,NA
B_DTA_MCC_265,1,0,0,02/04/2020,02/04/2020,0,NA,NA,NA
B_DTA_MCC_266,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B_DTA_MCC_267,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_268,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_270,1,1,1,30/04/2020,30/04/2020,0,NA,NA,NA
B_DTA_MCC_271,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
B_DTA_MCC_272,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_273,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B_DTA_MCC_274,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B_DTA_MCC_276,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B_DTA_MCC_277,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B_DTA_MCC_278,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B_DTA_MCC_280,1,1,1,03/05/2020,03/05/2020,0,NA,NA,NA
B_DTA_MCC_281,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B_DTA_MCC_285,1,1,1,11/04/2020,11/04/2020,0,NA,NA,NA
B_DTA_MCC_286,1,1,1,14/04/2020,14/04/2020,0,NA,NA,NA
B_DTA_MCC_287,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_288,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B_DTA_MCC_290,1,1,1,05/03/2020,05/03/2020,0,NA,NA,NA
B_DTA_MCC_291,1,0,0,14/05/2020,14/05/2020,0,NA,NA,NA
B_DTA_MCC_292,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_293,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B_DTA_MCC_294,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_295,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B_DTA_MCC_296,1,1,1,20/04/2020,20/04/2020,0,NA,NA,NA
B_DTA_MCC_297,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_298,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B_DTA_MCC_299,1,1,1,04/04/2020,04/04/2020,0,NA,NA,NA
B_DTA_MCC_301,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B_DTA_MCC_302,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B_DTA_MCC_303,1,1,1,21/04/2020,21/04/2020,0,NA,NA,NA
B_DTA_MCC_304,1,1,1,21/04/2020,21/04/2020,0,NA,NA,NA
B_DTA_MCC_306,1,1,1,01/03/2020,01/03/2020,0,NA,NA,NA
B_DTA_MCC_307,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B_DTA_MCC_308,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B_DTA_MCC_309,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_311,1,1,1,17/03/2020,17/03/2020,0,NA,NA,NA
B_DTA_MCC_313,1,1,1,19/03/2020,19/03/2020,0,NA,NA,NA
B_DTA_MCC_315,1,1,1,20/04/2020,20/04/2020,0,NA,NA,NA
B_DTA_MCC_317,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_318,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_319,1,1,1,24/04/2020,24/04/2020,0,NA,NA,NA
B_DTA_MCC_320,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B_DTA_MCC_321,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_323,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B_DTA_MCC_324,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_325,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_326,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B_DTA_MCC_327,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B_DTA_MCC_329,1,1,1,19/03/2020,19/03/2020,0,NA,NA,NA
B_DTA_MCC_331,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_332,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B_DTA_MCC_334,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B_DTA_MCC_335,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_336,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_337,1,1,1,03/05/2020,03/05/2020,0,NA,NA,NA
B_DTA_MCC_338,1,1,1,22/03/2020,22/03/2020,0,NA,NA,NA
B_DTA_MCC_339,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B_DTA_MCC_340,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B_DTA_MCC_341,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B_DTA_MCC_342,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B_DTA_MCC_343,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B_DTA_MCC_344,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B_DTA_MCC_345,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_347,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B_DTA_MCC_348,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B_DTA_MCC_349,1,0,0,15/03/2020,15/03/2020,0,NA,NA,NA
B_DTA_MCC_350,1,0,0,18/03/2020,18/03/2020,0,NA,NA,NA
B_DTA_MCC_352,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_353,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B_DTA_MCC_355,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B_DTA_MCC_357,1,0,0,03/04/2020,03/04/2020,0,NA,NA,NA
B_DTA_MCC_358,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B_DTA_MCC_359,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B_DTA_MCC_360,1,1,1,17/04/2020,17/04/2020,0,NA,NA,NA
B.1.1_DTA_MCC_1,1,1,1,27/02/2020,27/02/2020,0,NA,NA,NA
B.1.1_DTA_MCC_4,1,1,1,29/02/2020,29/02/2020,0,NA,NA,NA
B.1.1_DTA_MCC_5,1,1,1,28/02/2020,28/02/2020,0,NA,NA,NA
B.1.1_DTA_MCC_11,1,1,1,02/03/2020,02/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_13,1,0,0,02/03/2020,02/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_14,1,1,1,01/03/2020,01/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_15,1,1,1,02/03/2020,02/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_17,1,1,1,02/03/2020,02/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_19,1,1,1,02/03/2020,02/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_20,1,1,1,01/03/2020,01/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_21,1,1,1,05/03/2020,05/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_22,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_23,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_25,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_28,1,0,0,29/02/2020,29/02/2020,0,NA,NA,NA
B.1.1_DTA_MCC_29,1,0,0,01/03/2020,01/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_30,1,0,0,01/03/2020,01/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_32,1,1,1,05/03/2020,05/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_34,1,1,1,02/03/2020,02/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_35,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_37,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_38,1,1,1,05/03/2020,05/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_39,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_41,1,1,1,05/03/2020,05/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_42,1,0,0,06/03/2020,06/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_50,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_52,1,1,1,05/03/2020,05/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_55,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_56,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_58,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_61,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_62,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_63,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_64,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_66,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_67,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_68,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_69,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_71,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_72,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_73,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_75,1,1,1,06/03/2020,06/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_80,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_81,1,1,1,07/03/2020,07/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_82,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_83,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_85,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_86,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_87,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_88,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_92,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_93,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_94,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_96,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_100,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_103,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_105,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_106,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_111,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_113,1,0,0,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_114,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_116,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_124,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_125,1,0,0,12/03/2020,12/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_129,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_130,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_131,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_135,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_137,1,0,0,12/03/2020,12/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_143,1,1,1,17/03/2020,17/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_149,1,0,0,18/03/2020,18/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_150,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_151,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B.1.1_DTA_MCC_155,1,1,1,19/03/2020,19/03/2020,0,NA,NA,NA
