Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
B.1.1_DTA_MCC_179,60,21,7,23/03/2020,17/05/2020,55,596.9805839,116.7891128,66.08410224
B.1.1_DTA_MCC_264,60,57,10,26/03/2020,22/05/2020,57,684.2941241,265.7945599,242.1901974
B.1.1_DTA_MCC_590,60,59,14,19/03/2020,26/05/2020,68,580.2706093,80.77876599,22.35358226
B.1.pruned_DTA_MCC_2,60,56,6,24/02/2020,04/06/2020,101,294.8132811,147.5686464,124.8794145
B.1.1_DTA_MCC_184,59,58,6,20/03/2020,26/05/2020,67,258.596726,111.3456439,145.5953234
B.1.1_DTA_MCC_163,58,54,7,18/03/2020,11/05/2020,54,316.794986,79.53744598,0
B.1.X_DTA_MCC_46,56,55,5,30/03/2020,15/05/2020,46,160.7518471,15.09610294,0
B.1.1_DTA_MCC_3,54,51,10,29/02/2020,04/05/2020,65,558.0804231,134.7181075,93.851175
B.1.1_DTA_MCC_12,53,43,14,02/03/2020,30/04/2020,59,615.2191223,142.8636018,60.46586511
B.1.1_DTA_MCC_182,53,41,17,15/03/2020,08/06/2020,85,551.0910264,171.2387185,162.7600752
B.1.1_DTA_MCC_369,53,49,14,07/03/2020,17/06/2020,102,577.836908,197.3953265,163.1238947
B.1.1_DTA_MCC_176,50,43,20,19/03/2020,06/06/2020,79,551.0910264,187.1944031,204.4367834
B.1.1_DTA_MCC_363,50,43,9,21/03/2020,09/05/2020,49,296.6988754,105.5216108,115.0847613
B.1.pruned_DTA_MCC_518,50,37,4,21/03/2020,03/06/2020,74,113.9475856,37.69388628,0
B.1.pruned_DTA_MCC_203,49,47,18,21/03/2020,30/04/2020,40,581.1308761,260.531043,249.6859999
B.1.1_DTA_MCC_154,48,45,13,18/03/2020,28/05/2020,71,640.7406107,115.5604379,80.24274299
B.1.1_DTA_MCC_188,48,46,18,21/03/2020,01/05/2020,41,756.4109203,196.5418898,149.6486157
B.1.1_DTA_MCC_84,47,19,7,11/03/2020,03/05/2020,53,234.0811663,71.92095137,86.50961712
B.1.1_DTA_MCC_1029,47,43,5,27/03/2020,31/05/2020,65,49.69338865,17.00096815,18.77495067
B.1.1_DTA_MCC_488,46,45,7,16/03/2020,25/05/2020,70,515.5549033,62.20974945,0
B.1.X_DTA_MCC_107,46,43,2,01/05/2020,01/06/2020,31,115.0847613,15.29365599,0
B_DTA_MCC_36,45,40,21,03/03/2020,26/05/2020,84,723.2280458,203.3167514,189.8191611
B.1.1_DTA_MCC_74,45,43,7,06/03/2020,17/06/2020,103,396.4789988,48.97762054,32.88832482
B.1.1_DTA_MCC_145,44,36,13,14/03/2020,30/05/2020,77,588.013934,210.2672037,145.0574066
B.1.1_DTA_MCC_222,44,31,15,20/03/2020,12/05/2020,53,586.6152817,305.0264087,284.9686181
B.1.pruned_DTA_MCC_265,44,35,11,21/03/2020,11/05/2020,51,556.6651849,136.8691057,93.07384187
B_DTA_MCC_112,43,38,14,12/03/2020,09/05/2020,58,573.5539812,161.1995056,161.1740101
B.1.1_DTA_MCC_347,43,41,12,20/03/2020,24/05/2020,65,333.529538,85.41979538,95.297663
B_DTA_MCC_53,42,35,12,04/03/2020,21/05/2020,78,584.2830071,182.3329926,64.47174151
B_DTA_MCC_259,42,42,14,17/03/2020,19/04/2020,33,319.709913,65.17489798,42.39032036
B.1.1_DTA_MCC_140,42,31,5,15/03/2020,21/04/2020,37,294.8132811,90.45368759,56.97509324
B.1.1_DTA_MCC_371,42,39,14,17/03/2020,07/05/2020,51,375.5836932,90.07209059,73.22078588
B.1.1_DTA_MCC_79,41,39,18,09/03/2020,19/05/2020,71,738.1949616,223.8181612,210.2509797
B.1.1_DTA_MCC_272,41,8,7,24/03/2020,17/04/2020,24,305.6304423,164.9485037,153.4910508
B.1.1_DTA_MCC_665,41,38,3,07/04/2020,10/06/2020,64,235.3731974,21.20395011,0
B.1.pruned_DTA_MCC_219,41,40,4,16/03/2020,24/04/2020,39,159.6878267,34.80523037,0
B.1.pruned_DTA_MCC_707,41,41,6,22/03/2020,01/06/2020,71,53.61788154,14.79120066,16.51394311
B_DTA_MCC_94,40,38,10,14/03/2020,19/05/2020,66,577.6687194,173.8302818,145.5953234
B.1.1_DTA_MCC_199,40,33,15,02/03/2020,04/05/2020,63,651.2377655,204.6690567,186.473584
