"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"751",2020-03-01,"Sweden",1,12,1926.36976482403,907.568644179697,3515.83676360155,314.241546986183,171.435746401026,522.098268303954,0,0,0.288421381570295,0.11125110276989,0.594880614954191,0.0964805249836572,0.0376068710853353,0.197911689691794,2.70441559953608,2.26472167101389,3.2253500886387
"752",2020-03-02,"Sweden",1,13,2296.42563909954,1116.35858118585,4118.78498420376,370.055874275502,208.78993700615,602.948220602204,0,0,0.417111562540751,0.162159309440167,0.856718730614837,0.128690180970456,0.0509082066702766,0.261838115660647,2.70433314234205,2.26460832180795,3.22530343834907
"753",2020-03-03,"Sweden",1,14,2732.35303779601,1369.61391276967,4812.49977113307,435.927398696474,253.255331583827,693.714786929314,0,0,0.584151867969032,0.229340159305047,1.1933031682764,0.167040305428281,0.0671808498648806,0.336584437661566,2.70423588690318,2.26447875054751,3.22524624684668
"754",2020-03-04,"Sweden",9,23,3246.03236118662,1678.66911052548,5616.30917038047,513.67932339061,309.055197755803,803.809399247398,0,0,0.796951238307315,0.316408730420726,1.6183474319537,0.212799370338283,0.0870685711156789,0.425044263677296,2.70412113913789,2.26433062462358,3.2251761344728
"755",2020-03-05,"Sweden",11,34,3851.5092337339,2053.36897578589,6544.67560836702,605.476872547278,374.69986526041,928.366437986553,0,0,1.06391198235055,0.428224593785476,2.14623752545095,0.266960744043238,0.111815863364749,0.527890093497246,2.70398571123897,2.2641612839272,3.22509018396872
"756",2020-03-06,"Sweden",26,60,4565.39643678813,2507.18085154416,7617.27858583009,713.887203054229,453.811875758268,1072.60297746307,0,0,1.39379903955035,0.570410136923056,2.79100597469392,0.329887057199801,0.14218554313758,0.644768449242972,2.70382582816732,2.26396769170386,3.22498481902079
"757",2020-03-07,"Sweden",76,136,5407.34891697819,3052.6505032215,8855.20236016402,841.952480190059,545.469651677344,1237.92377433393,0,0,1.79770119007067,0.750060460714174,3.5695496060321,0.403902150520317,0.179650323791118,0.778543631338183,2.70363701754181,2.26374637928143,3.22485565583692
"758",2020-03-08,"Sweden",24,160,6400.62659063019,3712.23987366965,10290.4100631661,993.277673652005,659.589370448155,1435.20770300211,0,0,2.28809281745045,0.97456015851347,4.49540128472612,0.490391627379782,0.224499697799296,0.925851678694022,2.70341397925149,2.26349338391805,3.22469732129483
"759",2020-03-09,"Sweden",42,202,7572.76174710481,4504.43863596932,11961.288847043,1172.13515647462,792.198762299669,1670.87878387685,0,0,2.87900279253498,1.25227547133189,5.58722626769796,0.590909975084523,0.277715312818422,1.09182498297184,2.7031504306823,2.26320417848041,3.22450323012386
"760",2020-03-10,"Sweden",45,247,8935.71477737435,5461.21698016789,13861.4113821541,1362.95303026954,956.778344198565,1900.12253511115,0,0,3.58713291822802,1.5963006916997,6.86859753038294,0.708130125693041,0.344025220367806,1.28137126268497,2.66367889958434,2.2631920286608,3.13454841656808
