Date,Total air arrivals,"of which:
British nationals","
% British nationals",,origin,Spain,United States,Italy,Germany,France,China,Switzerland,Netherlands,Portugal,Ireland,Austria,Turkey,Poland,Canada,Belgium,Norway,Australia,Sweden,Denmark,Romania,Czech Republic,India,Israel,Korea (South),Iran,Brazil,Greece,Japan,Philippines,,origin,Spain,United States,Italy,Germany,France,China,Switzerland,Netherlands,Portugal,Ireland,Austria,Turkey,Poland,Canada,Belgium,Norway,Australia,Sweden,Denmark,Romania,Czech Republic,India,Israel,Korea (South),Iran,Brazil,Greece,Japan,Philippines,,origin,France+Extras,Netherlands+Extras,Ireland+Extras,Belgium+Extras,,France ferry&Rail,Netherlands ferry&Rail,Ireland ferry&Rail,Belgium ferry&rail,,global,global+Extras
02-Mar-20," 228,200 "," 122,500 ",53.6809815951,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,02-Mar-20,33461.2328051744,13937.2081895464,8176.0127660713,11177.4548575855,11170.2885974186,544.3703556379,9431.7538809392,9037.5564883534,7221.1484113941,15852.563740217,3225.4540759893,2730.716707433,9048.4916705339,2107.1459060991,1120.8030900964,3060.3646751084,3429.5597822231,2945.65142903,2890.9224347187,4808.7198221869,2145.8967944088,5224.3098284559,902.7364473894,299.6558417919,96.3994700964,958.314776239,1845.922452165,740.6197173925,467.4524965136,,02-Mar-20,27802.0111780638,10005.2984238373,17239.6605144105,3895.9153481609,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 228,200 "," 249,962 "
03-Mar-20," 181,900 "," 93,000 ",51.1269928532,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,03-Mar-20,26672.2096724856,11109.4573605543,6517.1635501681,8909.6364530885,8903.9241712114,433.9218566632,7518.1245878301,7203.9067713913,5756.0337249456,12636.2022101028,2571.0346030782,2176.6755875638,7212.6232904037,1679.622437859,893.4008855764,2439.4405539098,2733.7288535775,2348.0017306773,2304.376822416,3833.0680791227,1710.5110731944,4164.3381147946,719.5782637166,238.8580088604,76.8407695466,763.8801831633,1471.3991851394,590.3537536972,372.6100311824,,03-Mar-20,25535.6467518566,8171.6487068751,14023.2989842964,3668.5131436409,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 181,900 "," 203,662 "
04-Mar-20," 167,900 "," 83,200 ",49.553305539,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,04-Mar-20,24619.37330407,10254.4139133428,6015.567674949,8223.9030262428,8218.6303922287,400.5249023296,6939.4893804106,6649.4554530874,5313.0184849828,11663.6522873901,2373.1539849194,2009.1469552059,6657.5011020274,1550.3496828836,824.6399598036,2251.6881198541,2523.3264129503,2167.2869190804,2127.019617832,3538.0545930989,1578.860963108,3843.8283093679,664.1956595823,220.4742148855,70.9266916266,705.0878656027,1358.152408933,544.9169612191,343.9319639117,,04-Mar-20,24850.3529728739,7617.1973885712,13050.7490615837,3599.7522178681,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 167,900 "," 189,662 "
05-Mar-20," 205,000 "," 98,400 ",48,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,05-Mar-20,30059.3896803713,12520.2790484531,7344.7967442796,10041.096607384,10034.658906533,489.0268313136,8472.8726800724,8118.7514465927,6487.0088708843,14240.9095825788,2897.5376230403,2453.0978309542,8128.5749012246,1892.9224835685,1006.8564131015,2749.2320701017,3080.8928806124,2646.1811698123,2597.0162099796,4319.8403310618,1927.733754837,4693.1792937488,810.9595605382,269.1912689191,86.5989981146,860.8875071385,1658.2563658801,665.324461286,419.9288421792,,05-Mar-20,26666.3814871781,9086.4933820766,15628.0063567723,3781.968671166,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 205,000 "," 226,762 "
06-Mar-20," 235,300 "," 102,700 ",43.6464088398,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,06-Mar-20,34502.3141062994,14370.8373663465,8430.393531361,11525.2196669144,11517.8304424742,561.3073824785,9725.2045932734,9318.7425140647,7445.8204259467,16345.7854867355,3325.8078180556,2815.6776567002,9330.0179232105,2172.7056604081,1155.6747024526,3155.5819809509,3536.2638771126,3037.2996549113,2980.8678741863,4958.3338043846,2212.6622073812,5386.8540869223,930.8233394861,308.9790515935,99.3987524701,988.1308801448,1903.3547458126,763.6626621492,481.9963734867,,06-Mar-20,28149.5530231193,10286.4844495485,17732.8822609291,3930.7869605171,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 235,300 "," 257,062 "
07-Mar-20," 225,100 "," 125,100 ",55.5752998667,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,07-Mar-20,33006.6761807395,13747.877140521,8064.9451079871,11025.6138844982,11018.5449749296,536.9753157497,9303.627513582,8914.7851250147,7123.052179688,15637.2134001877,3181.637653397,2693.6210816966,8925.5717573935,2078.5212246403,1105.5774565324,3018.7909218532,3382.97067037,2905.6360064621,2851.6504822751,4743.3954074245,2116.745698604,5153.3398001114,890.4731564739,295.5851445546,95.0899242712,945.2964773506,1820.8463802908,730.5587133438,461.1023530465,,07-Mar-20,27650.2675555748,9882.5270604986,17024.3101743813,3880.689714597,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 225,100 "," 246,862 "
08-Mar-20," 246,600 "," 150,100 ",60.8678021087,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,08-Mar-20,36159.2463179491,15060.97957731,8835.2530592164,12078.704504297,12070.9604212245,588.2634956192,10192.2458678335,9766.2639352671,7803.3970124881,17130.7722100679,3485.5257455695,2950.8971956747,9778.0808324,2277.0472412097,1211.1745925407,3307.1250170102,3706.0887041903,3183.1623242717,3124.0204750291,5196.4518323895,2318.9226533795,5645.5512870168,975.5250128231,323.8173995876,104.1722582198,1035.5846793188,1994.7610723221,800.3366446494,505.1436706409,,08-Mar-20,28702.6830018697,10734.005870751,18517.8689842615,3986.2868506052,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 246,600 "," 268,362 "
09-Mar-20," 217,000 "," 126,300 ",58.202764977,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,09-Mar-20,31818.9637104419,13253.1734317772,7774.736065896,10628.8681161089,10622.0535742324,517.652792171,8968.8457150035,8593.9954337103,6866.7362194238,15074.5238020468,3067.1495814622,2596.6938015467,8604.3939198329,2003.7277021188,1065.7943494782,2910.1627278638,3261.2378297214,2801.0795797525,2749.0366710515,4572.7090333679,2040.5767063397,4967.9019841145,858.4303640819,284.9488066119,91.6682077604,911.2809221905,1755.3250311999,704.27028341,444.510042697,,09-Mar-20,27253.7761548776,9561.7373691942,16461.6205762404,3840.9066075427,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 217,000 "," 238,762 "
10-Mar-20," 187,900 "," 98,500 ",52.4215007983,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,10-Mar-20,27551.9966875209,11475.9045522163,6732.1332109763,9203.522207451,9197.6215050612,448.2348370919,7766.1111052957,7441.5287649501,5945.8973992154,13053.0093198368,2655.8405822892,2248.47357286,7450.5327997078,1735.0250471342,922.8698537647,2519.9058827908,2823.901328132,2425.4509356474,2380.387052952,3959.5024302757,1766.9325489457,4301.6994599775,743.3136654885,246.7367777068,79.3753743695,789.0768906894,1519.9335177994,609.8266647592,384.9006314413,,10-Mar-20,25829.3440857063,8409.2707004339,14440.1060940304,3697.9821118293,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 187,900 "," 209,662 "
11-Mar-20," 175,700 "," 88,600 ",50.4268639727,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,11-Mar-20,25763.0964236158,10730.7952625035,6295.0282339997,8605.954506914,8600.4369262334,419.1317768869,7261.8718531157,6958.3640447138,5559.8412615335,12205.5015300444,2483.4017578936,2102.484336091,6966.7834641228,1622.3730749414,862.9496184485,2356.2930473994,2640.5506298712,2267.9708855415,2225.8329175288,3702.4192495979,1652.2088815847,4022.3980581056,695.0516818857,230.7166143858,74.2216778963,737.8435853865,1421.2470413909,570.2317455997,359.9097442482,,11-Mar-20,25232.1595068785,7926.1059801977,13592.5983042379,3638.061876513,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 175,700 "," 197,462 "
12-Mar-20," 184,200 "," 96,700 ",52.4972855592,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,12-Mar-20,27009.4613615825,11249.9287840247,6599.5685868113,9022.2926589275,9016.5081491872,439.4084991608,7613.1860861919,7294.9952022555,5828.8148000824,12795.9782688342,2603.5435617758,2204.198148594,7303.821935637,1700.8601047479,904.6973233819,2470.2855966475,2768.2949688234,2377.6905925825,2333.5140774548,3881.534580398,1732.1393055657,4216.9932971147,728.6768343958,241.8782035849,77.812368062,773.5389210483,1490.0040126591,597.8183696043,377.3214279483,,12-Mar-20,25648.2307298323,8262.7371377393,14183.0750430278,3679.8095814465,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 184,200 "," 205,962 "
13-Mar-20," 195,200 "," 104,200 ",53.381147541,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,13-Mar-20,28622.4042224804,11921.7486354051,6993.6796316263,9561.083208592,9554.953261245,465.6489632801,8067.8280348787,7730.63552378,6176.8982029103,13560.1246366799,2759.0211903292,2335.8277883037,7739.9893693612,1802.4315550857,958.7237650606,2617.8053662627,2933.6111721733,2519.6808016944,2472.8661667708,4113.3308908452,1835.5786777765,4468.82242995,772.1917376442,256.3226131366,82.4591435706,819.732884846,1578.9836225356,633.5187065513,399.8541950897,,13-Mar-20,26186.6758418902,8698.3774592638,14947.2214108734,3733.8360231251,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 195,200 "," 216,962 "
14-Mar-20," 192,200 "," 125,800 ",65.452653486,,Mar_%_volume,14.6631169173,6.1074531944,3.5828276801,4.898095906,4.8949555642,0.2385496738,4.1331086244,3.9603665593,3.1643945712,6.9467851622,1.4134329868,1.1966330883,3.9651584884,0.9233768213,0.4911494698,1.3410888147,1.5028745759,1.2908200828,1.2668371756,2.1072391859,0.9403579292,2.289355753,0.3955900295,0.1313128141,0.0422434137,0.4199451254,0.8089055443,0.3245485177,0.2048433376,,14-Mar-20,28182.5107149628,11738.5250395741,6886.1948012222,9414.1403314108,9408.1045943202,458.4924730658,7943.834776146,7611.8245270006,6081.9663657754,13351.7210818129,2716.6182007237,2299.9287956556,7621.0346147091,1774.7302504481,943.9892809664,2577.5727018222,2888.5249348961,2480.9561992093,2434.8610515028,4050.1137152687,1807.3679399008,4400.1417573586,760.3240367583,252.3832287134,81.1918411592,807.134531083,1554.7164562056,623.7822510203,393.7088949602,,14-Mar-20,26039.8271749653,8579.5664624844,14738.8178560064,3719.1015390309,,16631.7225806452,967.7419354839,1387.0967741936,2775.1122580645,," 192,200 "," 213,962 "
